	Astrocytes_14	Astrocytes_40	Astrocytes_41	Astrocytes_42	Astrocytes_44	Blood_73	Ependymal_47	Excluded_30	Excluded_38	Excluded_44	Excluded_6	Immune_14	Immune_32	Immune_34	Immune_35	Neurons_10	Neurons_11	Neurons_12	Neurons_14	Neurons_15	Neurons_16	Neurons_17	Neurons_18	Neurons_19	Neurons_20	Neurons_21	Neurons_22	Neurons_23	Neurons_24	Neurons_25	Neurons_26	Neurons_27	Neurons_28	Neurons_30	Neurons_48	Neurons_49	Neurons_51	Neurons_52	Neurons_54	Neurons_58	Neurons_59	Neurons_60	Neurons_61	Neurons_62	Neurons_63	Oligos_0	Oligos_1	Oligos_14	Oligos_5	Oligos_53	Vascular_14	Vascular_46	Vascular_67	Vascular_68	Vascular_69	Vascular_70
943.438x911.457	1.5822466e-10	1.5758946999999999e-10	0.0149764735	1.5723518e-10	1.5613005e-10	0.015316193	0.0024198934	1.567758e-10	1.579843e-10	1.5713715e-10	0.10431198	1.5634699e-10	1.5735938999999996e-10	0.021784132	1.5610682e-10	1.5722916999999998e-10	0.044362072	0.2820014	1.5671153e-10	1.563941e-10	0.03920198	0.08831781	1.5667567e-10	0.010883524	1.5771033000000001e-10	1.5827567e-10	0.02059218	0.006910849399999999	0.06645064	1.5762615e-10	0.015527296	1.5702718e-10	1.5659200000000002e-10	1.5627989e-10	0.0102345655	0.037530486	1.5746718e-10	0.07764674	0.0021631776000000003	1.5703676e-10	1.5716863e-10	1.5766102e-10	1.5693526e-10	1.5781866e-10	1.5780693e-10	0.0053815953	1.582135e-10	1.5761772e-10	0.11603696	0.005217913	0.0060582897	1.5616251000000002e-10	1.5794063000000001e-10	1.5636072e-10	0.0021089565	0.0045649675
955.176x931.7	1.5017602e-10	1.498201e-10	0.041455463	1.4915719e-10	1.4974583e-10	1.5044925e-10	1.4955716000000001e-10	1.4913586e-10	1.5014652e-10	1.4993101000000002e-10	0.2547895	0.0056946916	0.0066181202	0.05381121	1.4960166e-10	0.0066058775	0.05757784	0.02224236	1.4906106999999998e-10	1.5013908e-10	0.00562614	0.048045915	0.05612458	1.4980153e-10	1.4864058999999996e-10	1.4860996999999999e-10	0.030283693	0.008895076	0.04490709	1.494927e-10	1.5026168e-10	1.5000653e-10	1.4863663e-10	1.5030584e-10	0.0072084665	1.4977981e-10	0.017097728	0.027748585	0.009484626	1.4934222e-10	1.4981268e-10	1.5001597e-10	1.4819727e-10	1.5021756e-10	1.4905566e-10	0.0096269585	1.497901e-10	1.4890619e-10	0.25401726	1.4881703000000001e-10	0.0020549796	0.00017588506999999994	1.4880226e-10	1.488846e-10	1.5038468999999996e-10	0.029907929
966.913x911.457	1.7234283000000001e-10	1.7283167e-10	0.04908454	1.7255862e-10	1.7268274e-10	0.002249761	0.014990523	1.7161265e-10	1.7252931e-10	1.7216377e-10	0.27189672	1.7264683999999998e-10	0.0012846367	0.06815424	1.7151513999999998e-10	0.02094636	1.7237473e-10	0.01817394	1.714615e-10	1.7251187e-10	1.7245265e-10	0.02382075	0.023717474	1.7244213e-10	1.7270874e-10	0.044631626	1.7272621e-10	1.7277398999999998e-10	0.0029864540000000004	1.7124774e-10	0.003550881	1.7092404e-10	1.7105188e-10	1.722459e-10	0.021624478	1.7272589e-10	0.025678756	1.7177966e-10	1.7247569e-10	1.7197867e-10	1.7238919e-10	1.7261227e-10	1.7095893e-10	1.7257243e-10	1.7005515e-10	0.008711114499999999	1.7237011999999999e-10	1.6985448999999996e-10	0.2516198	1.7177541e-10	0.049806684	0.012014275	1.7194095e-10	1.7278684e-10	0.041319806	0.043737236
978.651x931.7	1.9159815e-10	0.012022636	0.05935001400000001	0.01272675	1.9102598999999998e-10	0.01381363	0.01623505	1.903651e-10	0.0014666119	1.9254845e-10	0.21235818	1.9103218e-10	0.023546385	0.056182418	1.9252605e-10	0.050539598	1.9177217e-10	0.015825152	1.9039087e-10	1.919731e-10	1.891068e-10	0.043816194	1.9234328e-10	1.9122975e-10	1.9228129e-10	1.9240125e-10	0.013073798	1.9231576e-10	1.9207931e-10	1.9119986000000002e-10	1.9090615e-10	1.918146e-10	1.9210751000000002e-10	1.9066123999999998e-10	0.009463091	0.02693766	0.027425809	1.9219255e-10	1.9196028e-10	1.9042065e-10	1.9047187e-10	1.9188158e-10	1.9236897e-10	1.8975463999999998e-10	1.9091123000000002e-10	1.919149e-10	0.06267954	0.12621993	0.10990455	1.908195e-10	0.011567498999999998	0.0018409995	1.9242435e-10	1.9144472e-10	0.014294089	0.07871045
990.219x911.457	2.4578153e-10	2.4594568e-10	2.444435e-10	0.046597604	2.44722e-10	0.029160146	0.009772323	2.4689836000000003e-10	0.022786781	2.4634003e-10	0.15411043	0.016311088999999997	2.466748e-10	2.44485e-10	2.4659716e-10	0.111665	2.434213e-10	2.459466e-10	2.459527e-10	2.4437732000000004e-10	2.4551491e-10	0.006404189	0.009528393	0.016088564	2.4536045e-10	0.040636532	2.4651203e-10	2.4514152000000004e-10	2.468522e-10	2.454433e-10	0.0032912767	2.4623856e-10	2.4678162000000003e-10	2.4397773e-10	0.032344352	0.057707634	0.012435087	2.4523457999999997e-10	2.47125e-10	2.4668514e-10	0.011424593	2.466908e-10	2.4549337999999996e-10	0.027641708	2.443172e-10	0.16086839	0.049046107	0.042909965	0.09618781	2.4356622000000003e-10	0.0062176324	0.0024154426	2.4633579e-10	2.4244963999999997e-10	2.473433e-10	0.034448862000000004
1001.956x931.7	1.4121046e-10	0.053166997	1.4145146e-10	0.05668376	1.4055346e-10	0.037791707	0.033327833	1.4186079e-10	0.012108326	1.4103363e-10	0.15216754	1.4156211999999998e-10	0.027230777	0.03422861	1.4049396e-10	0.04254443	1.4161343e-10	0.026676072	1.4164395e-10	1.4163046000000001e-10	1.4042752e-10	1.4089058000000002e-10	0.008792966	1.4190707e-10	1.4101668000000002e-10	0.024207348	1.4186864e-10	1.4121801e-10	1.4049181000000002e-10	1.4193605e-10	1.4056686e-10	1.3963747e-10	0.031464413	1.4053282e-10	0.026552146	0.03510941	0.021344155	1.4122797e-10	1.396127e-10	1.397835e-10	1.415802e-10	1.4130933999999996e-10	1.4132012e-10	1.414941e-10	1.4064571999999999e-10	0.02791792	0.011245487	1.4203787e-10	0.15384023	1.4069804e-10	1.4100511000000002e-10	0.011158822	0.03165241	1.416626e-10	0.0058015278	0.13498709
1013.694x911.457	2.1058935e-10	2.0985237000000002e-10	2.1137242999999998e-10	2.108502e-10	2.1065726000000002e-10	0.017827962	0.027704269	2.104444e-10	0.025391936	2.0876052e-10	0.16214204	2.111899e-10	0.0058058808	0.024473691	0.030690258	0.08318744	2.0931431999999999e-10	0.0163167	2.10505e-10	0.05283123	2.101083e-10	2.0993005e-10	2.108506e-10	2.1109686e-10	2.1012794e-10	2.1169562999999997e-10	2.1045402999999997e-10	2.117142e-10	2.1105217999999998e-10	2.1167745e-10	2.1178732000000003e-10	0.032621287	2.1124912000000003e-10	2.1232079e-10	0.06649991	0.07657291	2.122216e-10	2.1113071e-10	0.0033861026	2.107742e-10	2.109033e-10	2.1168917000000002e-10	2.1151239e-10	2.1038901000000002e-10	2.1041952000000002e-10	0.017563138	2.1141115e-10	2.1221351e-10	0.24054393	2.0964075e-10	0.006839901	0.015715875	2.1184265e-10	2.0956359e-10	0.003966364	0.08991912
1025.432x931.7	1.1585251499999999e-10	0.022213204	0.014230135	0.07958062	1.14878176e-10	0.045093626	0.14372708	1.1497638e-10	0.011179048	1.1541471000000001e-10	0.04293643	1.1510583999999999e-10	0.0027774025	0.011119314	1.1559383e-10	0.08111955	1.1556648999999998e-10	0.076507166	1.1558809499999999e-10	1.1583728e-10	1.1638718e-10	1.1614013000000001e-10	1.1504393999999998e-10	1.1579463999999999e-10	1.1579573999999999e-10	1.16263596e-10	1.14678524e-10	0.008482059	0.006802829	1.156825e-10	1.15329996e-10	1.14960375e-10	1.1577962e-10	1.1470192e-10	0.02329721	0.0014700991	1.1512451e-10	1.15641684e-10	0.0155072855	0.0107176	1.1570213999999999e-10	1.1621348000000001e-10	1.1506523000000001e-10	1.1570831999999999e-10	1.1583418e-10	0.0036771016	0.0027791553000000003	1.1579133e-10	0.041166447	1.1589628e-10	1.15656686e-10	0.025832025	0.036505926	1.1619708999999998e-10	0.051297642	0.24198103
1037.169x911.457	0.015673758	8.7045364e-11	0.01540685	0.042260244	8.663921e-11	0.011742996	0.13112527	8.677831e-11	0.009605546	8.615392e-11	8.730491e-11	8.632202e-11	0.020643681	0.025611902	8.607606e-11	8.723583000000001e-11	8.629782e-11	0.103277735	8.6726515e-11	8.646175400000002e-11	8.715185e-11	8.7310416e-11	8.690154e-11	8.7230174e-11	8.659774e-11	8.715318e-11	8.699292e-11	0.04196425	0.0155041795	8.622806e-11	8.623793e-11	8.658601600000001e-11	8.708871e-11	8.7187764e-11	0.027147219	8.652676e-11	8.699391e-11	8.662435e-11	0.01234524	8.734106e-11	8.640175e-11	8.628433e-11	8.637571e-11	8.703142e-11	8.61789e-11	8.731507e-11	0.010651932	8.6955915e-11	8.6208485e-11	8.723999000000001e-11	8.611268000000002e-11	0.015612919	0.012901554	0.038733847	0.11198992	0.33780098
1048.737x931.7	8.145906e-11	8.136045e-11	0.018790727	0.027183056	8.129887e-11	0.01514979	0.12812939999999998	8.144072e-11	0.01845352	8.093714e-11	8.101064000000002e-11	8.049806e-11	0.017719451	0.016924525	8.031233e-11	8.1388084e-11	8.032811e-11	0.094618954	8.1389014e-11	8.138792399999999e-11	8.037471e-11	0.054172963	8.114272e-11	8.071851999999998e-11	8.115881600000001e-11	8.070575e-11	8.1334696e-11	0.028266089	0.017646817	8.081974e-11	0.004331765	8.040138000000002e-11	8.13243e-11	8.051479e-11	0.03169952	8.092248e-11	8.037425e-11	8.116330500000002e-11	0.012959935	8.15063e-11	8.060191e-11	8.094423e-11	8.102333e-11	8.0806785e-11	8.039095999999999e-11	8.098083e-11	0.0047744242	8.096600500000002e-11	0.001971226	0.01672556	8.0528764e-11	0.052570157	8.1304456e-11	0.03527018	0.11611622	0.28652573
1060.475x911.457	0.0013955948	0.03893914	0.014144904	0.09058021	1.0699042e-10	0.0089084115	0.10773132	1.0674968500000001e-10	1.0740076999999999e-10	1.0655095e-10	1.0690067e-10	1.0750898e-10	1.0793182e-10	0.032829933	1.0696308e-10	0.08453683599999999	1.0721533400000001e-10	0.028198805	1.0772533e-10	0.041255258	0.013300614	0.010793515	0.016215485	1.0786103e-10	1.0800555e-10	0.054518323	1.0739811e-10	0.0039967936	0.010991087	1.08078296e-10	0.008669307	0.041141786	1.0747741e-10	1.0770623e-10	0.027307918	1.0805066999999999e-10	1.07486436e-10	0.022914855	0.013360468	0.0045163995000000005	0.052092604	1.0822145e-10	1.074233e-10	1.0687783000000001e-10	1.0716994e-10	1.0671773e-10	0.008044363	1.07184046e-10	0.004595727	0.011053183	1.0811561399999999e-10	0.02197978	0.013886847	1.0728653e-10	0.04880138	0.16329923
1072.212x931.7	1.0249824599999999e-10	1.0274624000000001e-10	0.03422869	0.044797175	0.037153732	0.006481958	0.06039916400000001	1.0235835999999999e-10	0.025403753	1.0216079e-10	1.0268022e-10	1.0270275e-10	0.016922135	1.02770535e-10	0.025013022000000003	0.12823978	0.017340595	1.0261562e-10	1.02694124e-10	0.058138393	0.016504673	1.0276329e-10	0.00771985	0.017395413000000002	0.0048516667	1.0165869499999999e-10	1.0235934e-10	1.021752e-10	0.05823345	1.0258684e-10	0.00051189377	0.05267055	1.0200696e-10	0.025083495	0.025106883	0.018356021	1.0163136999999999e-10	0.018718900000000004	1.0272292e-10	1.02622064e-10	0.037228465	1.0273722e-10	1.01390514e-10	1.0193908000000001e-10	0.025398964	1.0166103e-10	0.064638436	0.027071208	0.008065741500000001	0.014207734	1.0189165e-10	0.0063924496	0.013263801	1.0191031e-10	0.05301318	0.051449015999999986
1083.95x911.457	1.0088255e-10	0.030224804	1.01183374e-10	0.06550807	1.00673046e-10	1.0087928399999999e-10	0.008940148	1.0070704e-10	0.015935963	1.0125074399999999e-10	1.00201014e-10	1.00872935e-10	0.004543679	0.005426870699999999	1.0120710999999999e-10	0.1159343	1.01283384e-10	1.008966e-10	1.01252874e-10	0.083609425	0.023494743	1.0137692e-10	0.032567542000000005	0.035374925	0.024306254	1.01198425e-10	0.0047612647	1.0118221e-10	0.015514321	1.0101695e-10	0.005117312	0.17053970000000002	1.01329375e-10	1.0091045400000001e-10	0.011428583	0.07694681	9.9896647e-11	0.032878708	1.0127295999999999e-10	1.00087175e-10	0.05595447	0.12031319	1.013431e-10	1.0125635e-10	1.00913736e-10	9.992141e-11	1.0114034599999999e-10	0.007391509	1.00290116e-10	0.0012182435	1.0083541999999999e-10	0.0013745798000000002	0.004506843	0.013628088	0.009239365	0.023320284
1095.688x931.7	1.2058211e-10	1.2028578e-10	1.2005247e-10	0.040155325	1.2069508e-10	1.2060006e-10	0.009373199	1.1979581000000001e-10	1.2002818e-10	1.2014272e-10	0.046551198	1.2008247e-10	1.2018488999999998e-10	0.018026706	1.2053268e-10	0.11385203	1.1931193999999998e-10	1.2019932e-10	1.1985316999999999e-10	0.10916793	0.004353928	1.2008636000000001e-10	0.049435485	1.2042971999999998e-10	0.014120784	1.199275e-10	0.014049368	0.006444449499999999	1.1993871000000002e-10	1.1879193e-10	0.018475827	0.09098875	1.1958465e-10	0.026507778	0.011936316	0.06834381	1.2057613000000001e-10	0.015394784	1.2054142e-10	1.2056763e-10	0.09589487	0.050120607000000005	1.206601e-10	1.1973254e-10	0.013634707	0.0010696731	1.1941483999999998e-10	0.003349938	0.11339914	0.021219429	1.2009528e-10	0.0005304444299999999	0.0052309586	1.1997348999999999e-10	1.2037897e-10	0.038372304
1107.255x911.457	1.1911161e-10	0.0070751575	0.008859081	0.033978824	1.1845006e-10	0.0035324139	0.019455655	1.1921593e-10	0.0044230972	1.1922843e-10	1.189427e-10	0.0027879905	0.0007385437	1.1904368999999998e-10	0.025077749	0.09329919	1.1837305e-10	1.1882885e-10	1.1887352e-10	0.13984004	0.050941255	0.000966652	0.08192468	1.1858206999999999e-10	0.038972776	1.1885039e-10	0.012674628	1.1797903999999998e-10	1.1879918e-10	1.175637e-10	0.00029042078	0.11920113	1.1792324e-10	0.05231066	1.1918091999999998e-10	0.05752371	1.1844373e-10	0.03374581	1.1874503999999998e-10	1.1774952e-10	0.104595274	1.192994e-10	0.028602598	0.00045487366	1.1883633999999998e-10	1.178504e-10	0.006362166999999999	1.1880415e-10	0.023756046	0.014660542	1.1880302e-10	0.0013776346	1.187738e-10	0.008164521999999999	0.016678316999999998	0.007728542
1118.993x931.7	1.5197539e-10	1.5251814e-10	0.0035413862	0.044532467	1.5221792e-10	1.5198176e-10	0.0022969078	1.512109e-10	0.057312064	1.5174599e-10	1.5244163000000002e-10	1.5248176e-10	1.518786e-10	1.5203222e-10	1.5204758e-10	0.12256513	1.5100655e-10	0.06434605	0.029680958	0.08716219	0.036312856	0.008512232	0.06264128	1.5222314e-10	0.012687815	1.5133497e-10	0.022449391000000003	1.5144613e-10	1.5246548e-10	1.5152588e-10	0.004100485	0.15433829999999998	1.5223736e-10	1.515999e-10	1.5184733e-10	0.10537859	1.5144673000000002e-10	1.5222808e-10	1.5168493e-10	1.5194727e-10	0.06891479	0.040746782	1.5203859e-10	0.006822076999999999	1.5169707e-10	0.0026845455	0.0027397869	0.0020002658	0.003292328	0.007024790600000001	0.024348885	0.0028669608000000003	0.0039323205	1.5250183e-10	0.008900784	0.007867683
1130.731x911.457	1.2763121000000002e-10	0.008840987	1.2764168e-10	0.04153991	1.2666093e-10	1.2836532e-10	0.0006890857000000001	1.2742493e-10	0.043053884	1.2732022e-10	1.2750395e-10	1.2824689e-10	0.011366697	1.2817572e-10	1.2762608000000001e-10	0.08902916	1.2682869e-10	1.2792269e-10	1.2830584e-10	0.10853539	0.008153816999999999	0.06437813	0.04678805	1.2832443000000001e-10	0.043078378	1.2806622e-10	1.2764068999999998e-10	1.2819185e-10	1.2791099e-10	1.270432e-10	0.0072022723	0.18048903	1.273093e-10	1.7337806e-09	0.020539738	0.06034565	1.2824418e-10	0.024783831	1.2650953999999998e-10	1.2729401e-10	0.01750426	0.17781389	0.017771788	0.0021946663	1.281151e-10	1.279676e-10	0.0025493833	1.2793733e-10	0.00473577	1.274743e-10	1.2682433999999998e-10	0.002010922	1.2767527e-10	0.0014931511	0.0151120415	1.2789708000000001e-10
1142.468x931.7	1.5222795e-10	1.5291997e-10	0.0057779616	0.0054660123	1.5281997e-10	1.5286779e-10	0.014332158	1.522474e-10	0.08053289	1.5313101000000005e-10	0.002521385	1.5311669e-10	0.0015241946	0.035983834	1.5247117e-10	0.118374765	1.5171488999999998e-10	0.02204693	1.5267078999999998e-10	0.05891801	1.5257967e-10	0.036537	0.031375024	0.027033804	1.5258202e-10	1.5291853e-10	0.019716159	1.5308106000000002e-10	1.5294331e-10	1.5084321e-10	0.02605099	0.14685582	1.5220705e-10	1.527369e-10	0.025101757	0.05395846	1.5303261e-10	0.0032391606	1.5291794e-10	1.525017e-10	1.5217046e-10	0.16543978	1.5206398999999998e-10	1.5218209e-10	0.044208817	0.009570413	0.0002003099	1.5197729e-10	0.03290453	0.007682756	1.5309186e-10	0.0015603364000000002	0.005252585	1.5197353e-10	0.00430829	0.013525921000000002
