x	y	new_x	new_y	pixel_x	pixel_y
18	13	17.958633560672332	12.924882389188497	4911	3467
19	13	18.99569163310534	12.917814035513782	5213	3465
20	13	20.08049944021598	12.893255133948381	5528	3458
21	13	20.962491099144078	12.8997016383262	5784	3460
22	13	21.95658353082357	12.861001883749388	6073	3448
23	13	23.092714633238003	12.942417502945462	6404	3472
24	13	24.04901313748316	12.935313911143924	6682	3470
25	13	25.03492617807748	12.910150779345038	6968	3463
26	13	25.998547994209083	12.909759014287992	7248	3463
27	13	27.02550101556753	12.900756709299932	7547	3460
28	13	27.98537100760786	12.904309541616197	7826	3461
29	13	29.013915963166365	12.86782667978282	8125	3450
30	13	30.00965629548263	12.867939649071756	8414	3450
31	13	31.06213415764766	12.879858427262256	8720	3454
5	14	4.986828207793586	13.934266095078653	1141	3760
6	14	5.936898373122585	13.930347408092716	1417	3759
